ID,FECHA
1,1980-04-03
2,1980-03-11
3,1980-06-13
4,1980-02-15
5,1980-05-26
6,1980-03-19
7,1980-07-14
8,1980-01-10
9,1980-05-25
10,1980-09-12
11,1980-02-06
12,1980-10-04
13,1980-02-18
14,1980-11-16
15,1980-09-20
16,1980-12-03
17,1980-09-02
18,1980-02-03
19,1980-04-09
20,1980-12-20
21,1980-02-09
22,1980-03-01
23,1980-10-29
24,1980-09-10
25,1980-09-30
26,1980-02-04
27,1980-01-24
28,1980-07-14
29,1980-05-26
30,1980-07-16
31,1980-12-28
32,1980-10-14
33,1980-10-18
34,1980-06-20
35,1980-02-03
36,1980-03-03
37,1981-02-07
38,1981-09-06
39,1981-07-07
40,1981-10-06
41,1981-04-24
42,1981-12-07
43,1981-05-22
44,1981-07-27
45,1981-11-10
46,1981-04-28
47,1981-04-21
48,1981-10-11
49,1981-06-18
50,1981-10-30
51,1981-07-18
52,1981-09-20
53,1981-05-18
54,1981-01-22
55,1981-06-15
56,1981-02-09
57,1981-07-25
58,1981-03-17
59,1981-04-30
60,1981-01-06
61,1981-12-02
62,1981-03-19
63,1981-06-06
64,1981-02-15
65,1981-11-11
66,1981-03-04
67,1981-01-08
68,1981-04-18
69,1981-01-18
70,1981-03-22
71,1981-12-15
72,1981-02-22
73,1981-08-30
74,1981-10-14
75,1981-12-29
76,1981-06-18
77,1981-10-20
78,1981-10-24
79,1981-07-28
80,1981-07-28
81,1981-05-20
82,1981-03-28
83,1981-06-19
84,1981-10-30
85,1981-12-16
86,1981-10-18
87,1981-04-11
88,1981-02-01
89,1981-12-01
90,1981-01-15
91,1981-08-08
92,1981-08-15
93,1981-02-14
94,1981-11-09
95,1981-07-24
96,1981-05-20
97,1981-04-01
98,1981-04-18
99,1981-04-22
100,1981-07-29
101,1981-06-11
102,1981-11-22
103,1981-11-30
104,1981-04-25
105,1981-07-25
106,1981-08-30
107,1981-01-20
108,1981-11-22
109,1981-01-22
110,1981-03-26
111,1981-11-26
112,1981-04-18
113,1981-09-30
114,1981-09-21
115,1981-06-30
116,1981-07-10
117,1981-09-12
118,1981-05-20
119,1981-03-02
120,1981-05-27
121,1981-04-23
122,1981-01-05
123,1981-04-29
124,1981-07-13
125,1981-02-22
126,1981-01-19
127,1981-01-17
128,1981-09-18
129,1981-09-13
130,1981-07-12
131,1981-07-30
132,1981-09-07
133,1981-01-12
134,1981-08-24
135,1981-03-09
136,1981-05-24
137,1981-12-27
138,1981-03-27
139,1981-03-23
140,1981-08-26
141,1981-08-24
142,1981-05-20
143,1981-11-03
144,1981-04-29
145,1981-07-04
146,1981-08-17
147,1981-01-20
148,1981-11-27
149,1981-04-28
150,1981-04-25
151,1981-07-14
152,1981-10-13
153,1981-12-04
154,1981-06-10
155,1981-03-29
156,1981-12-24
157,1981-01-21
158,1981-05-06
159,1981-12-30
160,1981-06-22
161,1981-03-17
162,1981-01-10
163,1981-08-12
164,1981-07-10
165,1981-12-20
166,1981-03-06
167,1981-05-07
168,1981-02-12
169,1981-11-10
170,1981-01-25
171,1981-06-18
172,1981-06-10
173,1981-06-16
174,1981-08-16
175,1981-12-05
176,1981-04-18
177,1981-10-12
178,1981-06-12
179,1981-02-18
180,1981-01-19
181,1981-12-05
182,1981-06-30
183,1981-05-25
184,1981-06-12
185,1981-12-24
186,1981-12-10
187,1981-09-21
188,1981-11-12
189,1981-03-05
190,1981-09-26
191,1981-09-06
192,1981-08-27
193,1981-12-21
194,1981-10-05
195,1981-10-01
196,1981-03-01
197,1981-05-03
198,1981-04-06
199,1981-08-21
200,1981-11-18
201,1981-05-15
202,1981-03-02
203,1981-04-29
204,1981-01-07
205,1981-03-30
206,1981-01-29
207,1981-08-19
208,1981-10-28
209,1981-04-24
210,1981-09-19
211,1981-08-28
212,1981-09-26
213,1981-01-25
214,1981-08-18
215,1981-01-12
216,1981-08-30
217,1981-05-31
218,1981-06-21
219,1981-11-11
220,1981-02-21
221,1982-06-09
222,1982-02-15
223,1982-09-25
224,1982-05-21
225,1982-11-16
226,1982-01-12
227,1982-06-03
228,1982-12-21
229,1982-12-23
230,1982-07-14
231,1982-03-11
232,1982-06-01
233,1982-10-23
234,1982-04-23
235,1982-02-15
236,1982-03-25
237,1982-02-15
238,1982-05-30
239,1982-05-07
240,1982-11-15
241,1982-04-21
242,1982-11-26
243,1982-08-12
244,1982-11-23
245,1982-07-03
246,1982-03-02
247,1982-12-16
248,1982-10-18
249,1982-09-21
250,1982-09-01
251,1982-06-06
252,1982-03-11
253,1982-06-22
254,1982-01-17
255,1982-02-20
256,1982-05-02
257,1982-01-09
258,1982-09-21
259,1982-04-06
260,1982-09-28
261,1982-06-19
262,1982-11-21
263,1982-11-29
264,1982-07-08
265,1982-10-16
266,1982-10-24
267,1982-02-08
268,1982-01-22
269,1982-03-07
270,1982-07-07
271,1982-09-25
272,1982-12-24
273,1982-10-03
274,1982-12-27
275,1982-11-05
276,1982-03-16
277,1982-05-15
278,1982-03-12
279,1982-12-10
280,1982-02-16
281,1982-11-23
282,1982-05-08
283,1982-01-12
284,1982-02-27
285,1982-02-28
286,1982-01-07
287,1982-03-10
288,1982-05-17
289,1982-08-09
290,1982-07-06
291,1982-12-27
292,1982-12-19
293,1982-04-13
294,1982-09-22
295,1982-04-23
296,1982-12-22
297,1982-03-21
298,1982-08-15
299,1982-10-16
300,1982-08-01
301,1982-11-11
302,1982-08-12
303,1982-04-14
304,1982-08-18
305,1982-12-04
306,1982-10-26
307,1982-02-04
308,1982-03-18
309,1982-11-15
310,1982-09-20
311,1982-11-25
312,1982-08-09
313,1982-07-13
314,1982-03-29
315,1982-01-30
316,1982-08-25
317,1982-08-12
318,1982-01-20
319,1982-09-01
320,1982-10-21
321,1982-06-14
322,1982-04-17
323,1982-08-12
324,1982-09-03
325,1982-08-14
326,1982-05-28
327,1982-04-26
328,1982-09-04
329,1982-09-19
330,1982-11-10
331,1982-09-28
332,1982-10-28
333,1982-05-17
334,1982-01-30
335,1982-03-28
336,1982-08-20
337,1982-06-30
338,1982-12-04
339,1982-09-12
340,1982-05-22
341,1982-01-07
342,1982-02-24
343,1982-08-22
344,1982-03-09
345,1982-04-02
346,1982-10-20
347,1982-12-28
348,1982-02-13
349,1982-08-13
350,1982-06-19
351,1982-02-19
352,1982-09-29
353,1982-05-30
354,1982-04-08
355,1982-08-13
356,1982-04-30
357,1982-07-16
358,1982-05-01
359,1982-09-12
360,1982-09-30
361,1982-01-24
362,1982-05-03
363,1982-07-14
364,1982-02-23
365,1983-07-31
366,1983-10-31
367,1983-03-28
368,1983-04-20
369,1983-09-14
370,1983-06-22
371,1983-07-27
372,1983-05-20
373,1983-05-05
374,1983-05-31
375,1983-09-13
376,1983-01-15
377,1983-02-03
378,1983-02-05
379,1983-07-01
380,1983-12-25
381,1983-11-27
382,1983-09-10
383,1983-10-10
384,1983-10-16
385,1983-08-19
386,1983-08-16
387,1983-10-14
388,1983-05-20
389,1983-03-13
390,1983-03-19
391,1983-07-11
392,1983-04-06
393,1983-08-28
394,1983-04-01
395,1983-02-25
396,1983-03-26
397,1983-08-20
398,1983-05-08
399,1983-12-28
400,1983-11-07
401,1983-05-30
402,1983-01-22
403,1983-01-19
404,1983-10-10
405,1983-01-10
406,1983-04-30
407,1983-01-13
408,1983-11-25
409,1983-08-12
410,1983-10-17
411,1983-12-10
412,1983-11-14
413,1983-04-12
414,1983-03-29
415,1983-06-30
416,1983-02-05
417,1983-04-11
418,1983-11-15
419,1983-01-29
420,1983-02-10
421,1983-01-13
422,1983-12-13
423,1983-09-10
424,1983-08-11
425,1983-02-10
426,1983-12-24
427,1983-07-15
428,1983-08-26
429,1983-02-25
430,1983-10-30
431,1983-06-07
432,1983-05-22
433,1984-08-29
434,1984-12-14
435,1984-08-24
436,1984-09-07
437,1984-03-31
438,1984-05-29
439,1984-05-19
440,1984-08-18
441,1984-10-14
442,1984-11-06
443,1984-11-05
444,1984-12-09
445,1984-07-09
446,1984-02-16
447,1984-01-10
448,1984-04-15
449,1984-02-17
450,1984-05-25
451,1984-10-21
452,1984-10-07
453,1984-04-13
454,1984-02-20
455,1984-09-12
456,1984-02-01
457,1984-11-21
458,1984-09-03
459,1984-06-18
460,1984-01-04
461,1984-12-27
462,1984-11-06
463,1984-12-17
464,1984-06-25
465,1984-02-22
466,1984-04-21
467,1984-04-11
468,1984-08-02
469,1984-08-16
470,1984-10-30
471,1984-07-14
472,1984-08-10
473,1984-02-22
474,1984-08-05
475,1984-11-12
476,1984-02-07
477,1984-12-14
478,1984-06-19
479,1984-10-13
480,1984-05-23
481,1984-12-20
482,1984-11-07
483,1984-09-17
484,1984-08-10
485,1984-07-26
486,1984-08-11
487,1984-10-10
488,1984-11-02
489,1985-08-29
490,1985-09-16
491,1985-01-27
492,1985-05-03
493,1985-07-19
494,1985-02-01
495,1985-01-05
496,1985-06-10
497,1985-05-16
498,1985-01-04
499,1985-02-11
500,1985-08-22
501,1985-09-27
502,1985-03-29
503,1985-09-05
504,1985-09-04
505,1985-12-06
506,1985-02-24
507,1985-07-20
508,1985-06-09
509,1985-02-18
510,1985-07-05
511,1985-08-10
512,1985-05-01
513,1985-07-26
514,1985-08-02
515,1985-11-04
516,1985-04-12
517,1985-07-01
518,1985-04-18
519,1985-02-11
520,1985-03-06
521,1985-09-12
522,1985-04-10
523,1985-01-06
524,1985-07-15
525,1985-09-15
